<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.09.04	00:00:00	1.25900	1.25944	1.25823	1.25860	12	0	38
2023.09.04	00:05:00	1.25919	1.25933	1.25858	1.25870	29	0	49
2023.09.04	00:10:00	1.25870	1.25903	1.25865	1.25866	15	0	57
2023.09.04	00:15:00	1.25870	1.25918	1.25870	1.25875	14	0	19
2023.09.04	00:20:00	1.25869	1.25911	1.25866	1.25866	16	0	19
2023.09.04	00:25:00	1.25910	1.25911	1.25866	1.25893	17	0	19
2023.09.04	00:30:00	1.25866	1.25910	1.25866	1.25876	24	0	17
2023.09.04	00:35:00	1.25875	1.25907	1.25870	1.25872	19	0	17
2023.09.04	00:40:00	1.25872	1.25915	1.25872	1.25914	19	0	17
2023.09.04	00:45:00	1.25882	1.25909	1.25869	1.25870	22	0	17
2023.09.04	00:50:00	1.25870	1.25908	1.25869	1.25870	25	0	17
2023.09.04	00:55:00	1.25876	1.25907	1.25869	1.25879	17	0	17
2023.09.04	01:00:00	1.25879	1.25919	1.25867	1.25913	999	0	17
2023.09.04	01:05:00	1.25913	1.25931	1.25913	1.25920	51	0	17
2023.09.04	01:10:00	1.25911	1.25931	1.25911	1.25925	57	0	16
2023.09.04	01:15:00	1.25925	1.25925	1.25887	1.25887	93	0	12
2023.09.04	01:20:00	1.25887	1.25893	1.25878	1.25893	199	0	12
2023.09.04	01:25:00	1.25894	1.25904	1.25890	1.25904	167	0	10
2023.09.04	01:30:00	1.25906	1.25908	1.25900	1.25903	60	0	10
2023.09.04	01:35:00	1.25902	1.25907	1.25893	1.25893	50	0	9
2023.09.04	01:40:00	1.25891	1.25906	1.25887	1.25898	104	0	4
2023.09.04	01:45:00	1.25897	1.25897	1.25885	1.25885	48	0	9
2023.09.04	01:50:00	1.25885	1.25897	1.25885	1.25885	97	0	12
2023.09.04	01:55:00	1.25882	1.25886	1.25873	1.25878	55	0	10
2023.09.04	02:00:00	1.25878	1.25891	1.25859	1.25863	81	0	7
2023.09.04	02:05:00	1.25863	1.25886	1.25862	1.25884	34	0	8
2023.09.04	02:10:00	1.25884	1.25893	1.25883	1.25890	47	0	8
2023.09.04	02:15:00	1.25890	1.25895	1.25886	1.25889	27	0	8
2023.09.04	02:20:00	1.25890	1.25890	1.25880	1.25884	34	0	8
2023.09.04	02:25:00	1.25884	1.25884	1.25869	1.25870	60	0	7
2023.09.04	02:30:00	1.25870	1.25884	1.25869	1.25882	43	0	9
2023.09.04	02:35:00	1.25882	1.25893	1.25872	1.25892	68	0	7
2023.09.04	02:40:00	1.25892	1.25895	1.25885	1.25894	29	0	7
2023.09.04	02:45:00	1.25894	1.25912	1.25891	1.25906	36	0	10
2023.09.04	02:50:00	1.25906	1.25915	1.25906	1.25914	27	0	10
2023.09.04	02:55:00	1.25914	1.25915	1.25903	1.25907	26	0	10
2023.09.04	03:00:00	1.25907	1.25915	1.25885	1.25897	143	0	7
2023.09.04	03:05:00	1.25895	1.25899	1.25883	1.25883	54	0	8
2023.09.04	03:10:00	1.25883	1.25900	1.25874	1.25897	71	0	8
2023.09.04	03:15:00	1.25897	1.25904	1.25892	1.25903	42	0	7
2023.09.04	03:20:00	1.25903	1.25914	1.25902	1.25914	61	0	7
2023.09.04	03:25:00	1.25914	1.25926	1.25912	1.25919	68	0	7
2023.09.04	03:30:00	1.25920	1.25939	1.25919	1.25936	81	0	7
2023.09.04	03:35:00	1.25936	1.25960	1.25933	1.25959	76	0	6
2023.09.04	03:40:00	1.25959	1.25975	1.25952	1.25966	72	0	7
2023.09.04	03:45:00	1.25964	1.25982	1.25956	1.25975	95	0	7
2023.09.04	03:50:00	1.25975	1.25975	1.25953	1.25960	109	0	6
2023.09.04	03:55:00	1.25960	1.25969	1.25952	1.25953	57	0	5
2023.09.04	04:00:00	1.25953	1.25977	1.25944	1.25974	118	0	5
2023.09.04	04:05:00	1.25974	1.25993	1.25973	1.25985	141	0	7
2023.09.04	04:10:00	1.25985	1.25985	1.25964	1.25965	106	0	5
2023.09.04	04:15:00	1.25964	1.25970	1.25944	1.25964	157	0	3
2023.09.04	04:20:00	1.25964	1.25987	1.25954	1.25973	138	0	5
2023.09.04	04:25:00	1.25973	1.26007	1.25973	1.25995	125	0	7
2023.09.04	04:30:00	1.25995	1.25996	1.25946	1.25948	213	0	8
2023.09.04	04:35:00	1.25948	1.25966	1.25886	1.25893	189	0	3
2023.09.04	04:40:00	1.25893	1.25930	1.25884	1.25928	153	0	6
2023.09.04	04:45:00	1.25928	1.25953	1.25902	1.25948	169	0	7
2023.09.04	04:50:00	1.25948	1.25948	1.25911	1.25913	113	0	5
2023.09.04	04:55:00	1.25913	1.25924	1.25904	1.25916	107	0	6
2023.09.04	05:00:00	1.25916	1.25959	1.25916	1.25959	152	0	7
2023.09.04	05:05:00	1.25959	1.25976	1.25957	1.25963	108	0	5
2023.09.04	05:10:00	1.25963	1.25998	1.25963	1.25991	132	0	7
