Datetime,Open,High,Low,Close
2024-01-01 00:00:00,1.3,1.3,1.3,1.3
2024-01-01 00:05:00,1.3,1.30017,1.30017,1.30017
2024-01-01 00:10:00,1.30017,1.3005,1.3005,1.3005
2024-01-01 00:15:00,1.3005,1.30099,1.30099,1.30099
2024-01-01 00:20:00,1.30099,1.30165,1.30165,1.30165
2024-01-01 00:25:00,1.30165,1.30246,1.30246,1.30246
2024-01-01 00:30:00,1.30246,1.30342,1.30342,1.30342
2024-01-01 00:35:00,1.30342,1.30452,1.30452,1.30452
2024-01-01 00:40:00,1.30452,1.30575,1.30575,1.30575
2024-01-01 00:45:00,1.30575,1.30712,1.30712,1.30712
2024-01-01 00:50:00,1.30712,1.3086,1.3086,1.3086
2024-01-01 00:55:00,1.3086,1.31018,1.31018,1.31018
2024-01-01 01:00:00,1.31187,1.31187,1.31187,1.31187
2024-01-01 01:05:00,1.31187,1.31363,1.31363,1.31363
2024-01-01 01:10:00,1.31363,1.31547,1.31547,1.31547
2024-01-01 01:15:00,1.31547,1.31737,1.31737,1.31737
2024-01-01 01:20:00,1.31737,1.31932,1.31932,1.31932
2024-01-01 01:25:00,1.31932,1.32129,1.32129,1.32129
2024-01-01 01:30:00,1.32129,1.32329,1.32329,1.32329
2024-01-01 01:35:00,1.32329,1.32529,1.32529,1.32529
2024-01-01 01:40:00,1.32529,1.32728,1.32728,1.32728
2024-01-01 01:45:00,1.32728,1.32925,1.32925,1.32925
2024-01-01 01:50:00,1.32925,1.33118,1.33118,1.33118
2024-01-01 01:55:00,1.33118,1.33306,1.33306,1.33306
2024-01-01 02:00:00,1.33488,1.33488,1.33488,1.33488
2024-01-01 02:05:00,1.33488,1.33662,1.33662,1.33662
2024-01-01 02:10:00,1.33662,1.33828,1.33828,1.33828
2024-01-01 02:15:00,1.33828,1.33983,1.33983,1.33983
2024-01-01 02:20:00,1.33983,1.34128,1.34128,1.34128
2024-01-01 02:25:00,1.34128,1.3426,1.3426,1.3426
2024-01-01 02:30:00,1.3426,1.3438,1.3438,1.3438
2024-01-01 02:35:00,1.3438,1.34486,1.34486,1.34486
2024-01-01 02:40:00,1.34486,1.34577,1.34577,1.34577
2024-01-01 02:45:00,1.34577,1.34654,1.34654,1.34654
2024-01-01 02:50:00,1.34654,1.34714,1.34714,1.34714
2024-01-01 02:55:00,1.34714,1.34759,1.34759,1.34759
